sl_no,product_name,processor,ram,storage,display,gpu,os,weight,color,current_price,mrp,rating,link
116,HP 15,Intel Core i3-1315U,12GB DDR4,512GB SSD,15.6'' FHD,,Win11,1.59kg,Silver,41990.0,52721.0,4.1,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_15?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.94DqLFnKWwbGbWgCrQRJLtk_1_M3eEgPXS_eFR4ddUU&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-15&xpid=vjzpPUSu4zLUM
117,acer Aspire 3,Intel Core Celeron N4500,12GB LPDDR4X RAM,512GB SSD,"15.6"" HD",,Windows 11 Home,1.5KG,Pure Silver,31999.0,35999.0,3.4,https://www.amazon.in/Celeron-LPDDR4X-39-62cm-Windows-A325-45/dp/B0FF4QBNWM/ref=sr_1_16?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.94DqLFnKWwbGbWgCrQRJLtk_1_M3eEgPXS_eFR4ddUU&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-16&xpid=vjzpPUSu4zLUM
118,Thomson NEO 14.1 Inch IN-P14C,Intel Celeron Dual Core N4020 Processor,8 GB DDR4,256 GB SSD,14.1 Inch,,Window 11,,Silver,14990.0,27990.0,3.0,https://www.amazon.in/Thomson-Window-Notebook-Numeric-Webcam/dp/B0DYVR777M/ref=sr_1_17?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.94DqLFnKWwbGbWgCrQRJLtk_1_M3eEgPXS_eFR4ddUU&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-17&xpid=vjzpPUSu4zLUM
119,ASUS TUF A15 (2025),AMD Ryzen 7 7445HS,16GB DDR5,512GB SSD,"15.6"" FHD 144Hz",RTX 3050,Windows 11,2.3 Kg,Graphite Black,70990.0,83990.0,4.2,https://www.amazon.in/ASUS-Upgradeable-Keyboard-Graphite-FA506NCG-HN199W/dp/B0FM3C4L2F/ref=sr_1_18?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.94DqLFnKWwbGbWgCrQRJLtk_1_M3eEgPXS_eFR4ddUU&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-18&xpid=vjzpPUSu4zLUM
120,HP 14s,Intel Celeron Dual Core N4500,8GB,512GB SSD,"14.0"" HD",,Win 11,1.46kg,Black,28690.0,30299.0,3.4,https://www.amazon.in/HP-Celeron-Display-DQ3149TU-Business/dp/B0FYYBXPPD/ref=sr_1_19?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.94DqLFnKWwbGbWgCrQRJLtk_1_M3eEgPXS_eFR4ddUU&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-19&xpid=vjzpPUSu4zLUM
121,HP 15,Intel Core i5-1334U,16GB DDR4,512GB SSD,15.6'' FHD,Iris Xe,Win11,1.59kg,Silver,54990.0,70841.0,3.9,https://www.amazon.in/HP-i5-1334U-Anti-Glare-Micro-Edge-fd0577TU/dp/B0F4R6H3NB/ref=sr_1_20?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.94DqLFnKWwbGbWgCrQRJLtk_1_M3eEgPXS_eFR4ddUU&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-20&xpid=vjzpPUSu4zLUM
122,Dell Model 5320,Intel Core i7,16GB RAM,512GB SSD,"13.3"" FHD Display",,Win 10 Pro,,,,,,https://www.amazon.in/Dell_Model-5320-Generation-Processor-Condition/dp/B0GLZ1FDRX/ref=sr_1_3?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-3&xpid=vjzpPUSu4zLUM
123,"EBook 11.6"" HD Laptop",Celeron N4020,4GB DDR4,128GB eMMC,"11.6"" HD",UHD Graphics 600,Win 11 Home,,Black,10990.0,25000.0,5.0,https://www.amazon.in/Neopticon-Student-Celeron-Expandable-Graphics/dp/B0G2MT8YVV/ref=sr_1_4?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-4&xpid=vjzpPUSu4zLUM
124,HP 15,AMD Ryzen 3 7320U,8GB DDR4,512GB SSD,15.6'' FHD,,Win11,1.59kg,Silver,36990.0,44783.0,4.0,https://www.amazon.in/HP-Anti-Glare-Micro-Edge-Office24-fc0500AU/dp/B0FJYJ8LVY/ref=sr_1_5?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-5&xpid=vjzpPUSu4zLUM
125,Primebook 2 Max 2025,MediaTek Helio G99,8GB RAM,256GB UFS,15.6-Inch Full HD IPS,,Android 15,,Gray,22990.0,34990.0,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzcyODM1MjEzNTM5NTk4OjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDcwNjM5MjAxMDAzMjo6MDo6&url=%2FPrimebook-Storage-15-6-Inch-MediaTek-Keyboard%2Fdp%2FB0FFMQB3KL%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FFMQB3KL%26pd_rd_r%3D0de089a3-ff70-4c32-8580-a0f5095c0cd5%26pd_rd_w%3DLyZXk%26pd_rd_wg%3DBKNZ1%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D17JEXX1WCVY5AWW0EE24%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DzUANlRM61Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zUANlRM61Y&sp_cr=ZAZ
126,HP OmniBook 5 OLED,Snapdragon X Processor,16GB LPDDR5x,512GB SSD,14'' 2K,,Win11,1.35kg,Silver,66020.0,83704.0,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzcyODM1MjEzNTM5NTk4OjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDkwMDY5NDE0ODUzMjo6MTo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F8P4Y7VF%26pd_rd_r%3D0de089a3-ff70-4c32-8580-a0f5095c0cd5%26pd_rd_w%3DLyZXk%26pd_rd_wg%3DBKNZ1%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D17JEXX1WCVY5AWW0EE24%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DZDXWmKYaWQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=ZDXWmKYaWQ&sp_cr=ZAZ
127,Primebook 2 Neo 2025,MediaTek Helio G99,6GB RAM,128GB,11.6”,,Android 15,,,15990.0,24990.0,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzcyODM1MjEzNTM5NTk4OjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDYyMTQ2MTg5MTEzMjo6Mjo6&url=%2FPrimebook-Upgradable-MediaTek-G99-PrimeOS3-0%2Fdp%2FB0FDLB7BQZ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FDLB7BQZ%26pd_rd_r%3D0de089a3-ff70-4c32-8580-a0f5095c0cd5%26pd_rd_w%3DLyZXk%26pd_rd_wg%3DBKNZ1%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D17JEXX1WCVY5AWW0EE24%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DE8O8DLTkwq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=E8O8DLTkwq&sp_cr=ZAZ
128,MSI Cyborg 15,Intel i5-12450H,16GB,512GB NVMe SSD,40CM FHD 144Hz,NVIDIA GeForce RTX 3050,Windows 11 Home,1.9Kg,Translucent Black,75990.0,97990.0,4.8,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzcyODM1MjEzNTM5NTk4OjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDYxNTM5OTYwMzUzMjo6Mzo6&url=%2FMSI-i5-12450H-Windows-Translucent-A12UDX-1468IN%2Fdp%2FB0DJP6N8X5%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DJP6N8X5%26pd_rd_r%3D0de089a3-ff70-4c32-8580-a0f5095c0cd5%26pd_rd_w%3DLyZXk%26pd_rd_wg%3DBKNZ1%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D17JEXX1WCVY5AWW0EE24%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DbRai6LJPxe%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=bRai6LJPxe&sp_cr=ZAZ
129,Primebook 2 Pro 2025,MediaTek Helio G99,8GB RAM,128GB UFS,14.1-Inch FHD IPS,,Android 15,,Aqua,19990.0,29990.0,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzcyODM1MjEzNTM5NTk4OjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDgyMzcxOTI4MTIzMjo6NDo6&url=%2FPrimebook-Storage-14-1-Inch-MediaTek-Keyboard%2Fdp%2FB0FZJNZS65%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FZJNZS65%26pd_rd_r%3D0de089a3-ff70-4c32-8580-a0f5095c0cd5%26pd_rd_w%3DLyZXk%26pd_rd_wg%3DBKNZ1%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D17JEXX1WCVY5AWW0EE24%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DtjigWtyJ9a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=tjigWtyJ9a&sp_cr=ZAZ
130,"BrowseBook 14.1"" FHD IPS Laptop",Celeron N4020,4GB RAM,128GB SSD,"14.1"" FHD IPS",,Windows 11,1.3kg,Grey,12990.0,30000.0,3.0,https://www.amazon.in/Neopticon-BrowseBook-Student-Celeron-Windows/dp/B0FC64RYH1/ref=sr_1_6?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-6&xpid=vjzpPUSu4zLUM
131,Thomson NEO 14.1 Inch IN-P14C,Intel Celeron Dual Core N4020 Processor,4 GB DDR4,128 GB SSD,14.1 Inch,,Window 11 Home,,Silver,12990.0,24990.0,,https://www.amazon.in/Thomson-Processor-Window-Notebook-Numeric/dp/B0DYVQYGP9/ref=sr_1_7?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-7&xpid=vjzpPUSu4zLUM
132,JioBook 11,Mediatek 8788,4GB RAM,64 eMMC,11.6 inch,,Android 4G (JioOS),990 Grams,Blue,10990.0,25000.0,2.9,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_8?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-8&xpid=vjzpPUSu4zLUM
133,Lenovo Chromebook,Intel Celeron N4500,4GB RAM,64GB eMMC 5.1,11.6 Inch HD,,Chrome OS,1.21Kg,Blue,15990.0,36502.0,3.8,https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_9?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-9&xpid=vjzpPUSu4zLUM
134,HP 15 Consumer Series Laptop,Intel Core i3-1315U,12GB DDR4 RAM,512GB NVMe SSD,15.6'' FHD,,Win11,1.59kg,Silver,40654.0,53933.0,4.1,https://www.amazon.in/HP-Consumer-i3-1315U-Anti-Glare-Micro-Edge/dp/B0FMYH3W73/ref=sr_1_10?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-10&xpid=vjzpPUSu4zLUM
135,ASUS Vivobook Go 14,AMD Ryzen 3 7320U,8GB RAM,512GB SSD,"14"" FHD",AMD Radeon iGPU,Windows 11,1.38 kg,Mixed Black,34990.0,43990.0,4.1,https://www.amazon.in/ASUS-Vivobook-Radeon-Windows-E1404FA-NK3325WS/dp/B0DTYNRVRX/ref=sr_1_13?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-13&xpid=vjzpPUSu4zLUM
136,HP Omnibook 5 OLED,Snapdragon X Processor,16GB LPDDR5x,1TB SSD,16'' 2K OLED,,Win11,1.59kg,Glacier Silver,71340.0,85965.0,4.1,https://www.amazon.in/HP-Snapdragon-Processor-Micro-Edge-fb0001QU/dp/B0FRM3G9JF/ref=sr_1_14?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-14&xpid=vjzpPUSu4zLUM
137,HP 15,Intel Core i3-1315U,12GB DDR4,512GB SSD,15.6'' FHD,,Win11,1.59kg,Silver,41990.0,52721.0,4.1,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_15?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-15&xpid=vjzpPUSu4zLUM
138,acer Aspire 3,Intel Core Celeron N4500,12GB LPDDR4X RAM,512GB SSD,"15.6"" HD",,Windows 11 Home,1.5KG,Pure Silver,31999.0,35999.0,3.4,https://www.amazon.in/Celeron-LPDDR4X-39-62cm-Windows-A325-45/dp/B0FF4QBNWM/ref=sr_1_16?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.sqHAtQadogqksm40zWF73_JiJUKZF6Pm3NqVmQgTtnA&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-16&xpid=vjzpPUSu4zLUM
